policy,trial,day,success_probability
frozen,5,57,0.126887
frozen,5,58,0.122544
frozen,5,59,0.118334
frozen,5,60,0.114253
frozen,6,0,0.899804
frozen,6,1,0.868637
frozen,6,2,0.838615
frozen,6,3,0.809695
frozen,6,4,0.781837
frozen,6,5,0.755002
frozen,6,6,0.729153
frozen,6,7,0.704253
frozen,6,8,0.680268
frozen,6,9,0.657163
frozen,6,10,0.634907
frozen,6,11,0.613469
frozen,6,12,0.592817
frozen,6,13,0.572924
frozen,6,14,0.553762
frozen,6,15,0.535303
frozen,6,16,0.517523
frozen,6,17,0.500395
frozen,6,18,0.483896
frozen,6,19,0.468003
frozen,6,20,0.452694
frozen,6,21,0.407947
frozen,6,22,0.393742
frozen,6,23,0.380058
frozen,6,24,0.366877
frozen,6,25,0.354180
frozen,6,26,0.341949
frozen,6,27,0.330167
frozen,6,28,0.318819
frozen,6,29,0.307886
frozen,6,30,0.297356
frozen,6,31,0.287212
frozen,6,32,0.277440
frozen,6,33,0.268028
frozen,6,34,0.258961
frozen,6,35,0.250227
frozen,6,36,0.241814
frozen,6,37,0.233710
frozen,6,38,0.225903
frozen,6,39,0.218384
frozen,6,40,0.211140
frozen,6,41,0.204162
frozen,6,42,0.197441
frozen,6,43,0.145966
frozen,6,44,0.139729
frozen,6,45,0.133722
frozen,6,46,0.127935
frozen,6,47,0.122360
frozen,6,48,0.116990
frozen,6,49,0.111818
frozen,6,50,0.106835
frozen,6,51,0.102035
frozen,6,52,0.097412
frozen,6,53,0.092958
frozen,6,54,0.088668
frozen,6,55,0.084536
frozen,6,56,0.080555
frozen,6,57,0.076720
frozen,6,58,0.073027
frozen,6,59,0.069468
frozen,6,60,0.066041
frozen,7,0,0.932478
frozen,7,1,0.904041
frozen,7,2,0.876509
frozen,7,3,0.849854
frozen,7,4,0.824048
frozen,7,5,0.799064
frozen,7,6,0.774876
frozen,7,7,0.751459
frozen,7,8,0.728787
frozen,7,9,0.706837
frozen,7,10,0.685587
frozen,7,11,0.665013
frozen,7,12,0.645095
frozen,7,13,0.625811
frozen,7,14,0.607142
frozen,7,15,0.589067
frozen,7,16,0.571568
frozen,7,17,0.554626
frozen,7,18,0.538224
frozen,7,19,0.522344
frozen,7,20,0.506970
frozen,7,21,0.462086
frozen,7,22,0.447676
frozen,7,23,0.433725
frozen,7,24,0.420218
frozen,7,25,0.407141
frozen,7,26,0.394481
frozen,7,27,0.382225
frozen,7,28,0.370358
frozen,7,29,0.358870
frozen,7,30,0.347748
frozen,7,31,0.336979
frozen,7,32,0.326554
frozen,7,33,0.316461
frozen,7,34,0.306689
frozen,7,35,0.297229
frozen,7,36,0.288070
frozen,7,37,0.279203
frozen,7,38,0.270618
frozen,7,39,0.262306
frozen,7,40,0.254260
frozen,7,41,0.246469
frozen,7,42,0.238927
frozen,7,43,0.186625
frozen,7,44,0.179556
frozen,7,45,0.172712
frozen,7,46,0.166085
frozen,7,47,0.159670
frozen,7,48,0.153459
frozen,7,49,0.147446
frozen,7,50,0.141625
frozen,7,51,0.135989
frozen,7,52,0.130532
frozen,7,53,0.125250
frozen,7,54,0.120135
frozen,7,55,0.115184
frozen,7,56,0.110390
frozen,7,57,0.105749
frozen,7,58,0.101255
frozen,7,59,0.096905
frozen,7,60,0.092694
frozen,8,0,0.922609
frozen,8,1,0.889882
frozen,8,2,0.858369
frozen,8,3,0.828024
frozen,8,4,0.798806
frozen,8,5,0.770671
frozen,8,6,0.743580
frozen,8,7,0.717495
frozen,8,8,0.692377
frozen,8,9,0.668190
frozen,8,10,0.644901
frozen,8,11,0.622476
frozen,8,12,0.600883
frozen,8,13,0.580091
frozen,8,14,0.560070
frozen,8,15,0.540792
frozen,8,16,0.522229
frozen,8,17,0.504355
frozen,8,18,0.487144
frozen,8,19,0.470571
frozen,8,20,0.454613
frozen,8,21,0.409248
frozen,8,22,0.394452
frozen,8,23,0.380205
frozen,8,24,0.366487
frozen,8,25,0.353277
frozen,8,26,0.340558
frozen,8,27,0.328310
frozen,8,28,0.316517
frozen,8,29,0.305161
frozen,8,30,0.294227
frozen,8,31,0.283698
frozen,8,32,0.273560
frozen,8,33,0.263798
frozen,8,34,0.254398
frozen,8,35,0.245347
frozen,8,36,0.236631
frozen,8,37,0.228239
frozen,8,38,0.220158
frozen,8,39,0.212377
frozen,8,40,0.204885
frozen,8,41,0.197670
frozen,8,42,0.190724
frozen,8,43,0.139035
frozen,8,44,0.132594
frozen,8,45,0.126392
frozen,8,46,0.120420
frozen,8,47,0.114669
frozen,8,48,0.109132
frozen,8,49,0.103801
frozen,8,50,0.098667
frozen,8,51,0.093724
frozen,8,52,0.088964
frozen,8,53,0.084380
frozen,8,54,0.079967
frozen,8,55,0.075717
frozen,8,56,0.071625
frozen,8,57,0.067685
frozen,8,58,0.063891
frozen,8,59,0.060238
frozen,8,60,0.056720
frozen,9,0,0.887733
frozen,9,1,0.860794
frozen,9,2,0.834726
frozen,9,3,0.809501
frozen,9,4,0.785090
frozen,9,5,0.761468
frozen,9,6,0.738610
frozen,9,7,0.716490
frozen,9,8,0.695085
frozen,9,9,0.674371
frozen,9,10,0.654327
frozen,9,11,0.634931
frozen,9,12,0.616161
frozen,9,13,0.597998
frozen,9,14,0.580421
frozen,9,15,0.563413
frozen,9,16,0.546954
frozen,9,17,0.531027
frozen,9,18,0.515615
frozen,9,19,0.500700
frozen,9,20,0.486268
frozen,9,21,0.442302
frozen,9,22,0.428787
frozen,9,23,0.415709
frozen,9,24,0.403053
frozen,9,25,0.390806
frozen,9,26,0.378955
frozen,9,27,0.367487
frozen,9,28,0.356390
frozen,9,29,0.345651
frozen,9,30,0.335259
frozen,9,31,0.325203
frozen,9,32,0.315472
frozen,9,33,0.306055
frozen,9,34,0.296943
frozen,9,35,0.288125
frozen,9,36,0.279592
frozen,9,37,0.271335
frozen,9,38,0.263344
frozen,9,39,0.255612
frozen,9,40,0.248129
frozen,9,41,0.240889
frozen,9,42,0.233882
frozen,9,43,0.182102
frozen,9,44,0.175540
frozen,9,45,0.169191
frozen,9,46,0.163047
frozen,9,47,0.157102
frozen,9,48,0.151348
frozen,9,49,0.145781
frozen,9,50,0.140393
frozen,9,51,0.135179
frozen,9,52,0.130134
frozen,9,53,0.125252
frozen,9,54,0.120528
frozen,9,55,0.115956
frozen,9,56,0.111532
frozen,9,57,0.107251
frozen,9,58,0.103109
frozen,9,59,0.099100
frozen,9,60,0.095221
frozen,10,0,0.906094
frozen,10,1,0.879439
frozen,10,2,0.853612
frozen,10,3,0.828586
frozen,10,4,0.804337
frozen,10,5,0.780840
frozen,10,6,0.758072
frozen,10,7,0.736011
frozen,10,8,0.714635
frozen,10,9,0.693921
frozen,10,10,0.673851
frozen,10,11,0.654404
frozen,10,12,0.635560
frozen,10,13,0.617300
frozen,10,14,0.599608
frozen,10,15,0.582464
frozen,10,16,0.565853
frozen,10,17,0.549757
frozen,10,18,0.534160
frozen,10,19,0.519048
frozen,10,20,0.504404
frozen,10,21,0.460215
frozen,10,22,0.446466
frozen,10,23,0.433144
frozen,10,24,0.420235
frozen,10,25,0.407727
frozen,10,26,0.395607
frozen,10,27,0.383863
frozen,10,28,0.372484
frozen,10,29,0.361458
frozen,10,30,0.350774
frozen,10,31,0.340421
frozen,10,32,0.330390
frozen,10,33,0.320670
frozen,10,34,0.311251
frozen,10,35,0.302125
frozen,10,36,0.293282
frozen,10,37,0.284714
frozen,10,38,0.276411
frozen,10,39,0.268367
frozen,10,40,0.260571
frozen,10,41,0.253018
frozen,10,42,0.245699
frozen,10,43,0.193607
frozen,10,44,0.186735
frozen,10,45,0.180077
frozen,10,46,0.173625
frozen,10,47,0.167373
frozen,10,48,0.161316
frozen,10,49,0.155446
frozen,10,50,0.149759
frozen,10,51,0.144248
frozen,10,52,0.138908
frozen,10,53,0.133733
frozen,10,54,0.128720
frozen,10,55,0.123862
frozen,10,56,0.119154
frozen,10,57,0.114593
frozen,10,58,0.110173
frozen,10,59,0.105891
frozen,10,60,0.101741
frozen,11,0,0.925163
frozen,11,1,0.897999
frozen,11,2,0.871668
frozen,11,3,0.846144
frozen,11,4,0.821402
frozen,11,5,0.797418
frozen,11,6,0.774169
frozen,11,7,0.751633
frozen,11,8,0.729787
frozen,11,9,0.708610
frozen,11,10,0.688082
frozen,11,11,0.668184
frozen,11,12,0.648895
frozen,11,13,0.630197
frozen,11,14,0.612072
frozen,11,15,0.594502
frozen,11,16,0.577471
frozen,11,17,0.560961
frozen,11,18,0.544958
frozen,11,19,0.529445
frozen,11,20,0.514407
frozen,11,21,0.469830
frozen,11,22,0.455699
frozen,11,23,0.442002
frozen,11,24,0.428724
frozen,11,25,0.415854
frozen,11,26,0.403377
frozen,11,27,0.391283
frozen,11,28,0.379559
frozen,11,29,0.368195
frozen,11,30,0.357179
frozen,11,31,0.346500
frozen,11,32,0.336149
frozen,11,33,0.326115
frozen,11,34,0.316388
frozen,11,35,0.306960
frozen,11,36,0.297820
frozen,11,37,0.288960
frozen,11,38,0.280372
frozen,11,39,0.272047
frozen,11,40,0.263977
frozen,11,41,0.256154
frozen,11,42,0.248571
frozen,11,43,0.196221
frozen,11,44,0.189095
frozen,11,45,0.182188
frozen,11,46,0.175493
frozen,11,47,0.169002
frozen,11,48,0.162711
frozen,11,49,0.156612
frozen,11,50,0.150701
frozen,11,51,0.144970
frozen,11,52,0.139415
frozen,11,53,0.134030
frozen,11,54,0.128811
frozen,11,55,0.123751
frozen,11,56,0.118846
frozen,11,57,0.114091
frozen,11,58,0.109483
frozen,11,59,0.105015
frozen,11,60,0.100684
frozen,12,0,0.920939
frozen,12,1,0.895221
frozen,12,2,0.870271
frozen,12,3,0.846065
frozen,12,4,0.822581
frozen,12,5,0.799797
frozen,12,6,0.777693
frozen,12,7,0.756248
frozen,12,8,0.735443
frozen,12,9,0.715258
frozen,12,10,0.695675
frozen,12,11,0.676677
frozen,12,12,0.658245
frozen,12,13,0.640363
frozen,12,14,0.623014
frozen,12,15,0.606182
frozen,12,16,0.589853
frozen,12,17,0.574011
frozen,12,18,0.558641
frozen,12,19,0.543729
frozen,12,20,0.529263
frozen,12,21,0.485228
frozen,12,22,0.471611
frozen,12,23,0.458401
frozen,12,24,0.445584
frozen,12,25,0.433150
frozen,12,26,0.421087
frozen,12,27,0.409383
frozen,12,28,0.398029
frozen,12,29,0.387013
frozen,12,30,0.376326
frozen,12,31,0.365957
frozen,12,32,0.355898
frozen,12,33,0.346139
frozen,12,34,0.336671
frozen,12,35,0.327485
frozen,12,36,0.318573
frozen,12,37,0.309927
frozen,12,38,0.301539
frozen,12,39,0.293401
frozen,12,40,0.285506
frozen,12,41,0.277847
frozen,12,42,0.270415
frozen,12,43,0.218206
frozen,12,44,0.211211
frozen,12,45,0.204425
frozen,12,46,0.197842
frozen,12,47,0.191455
frozen,12,48,0.185258
frozen,12,49,0.179246
frozen,12,50,0.173414
frozen,12,51,0.167755
frozen,12,52,0.162265
frozen,12,53,0.156939
frozen,12,54,0.151772
frozen,12,55,0.146759
frozen,12,56,0.141895
frozen,12,57,0.137177
frozen,12,58,0.132599
frozen,12,59,0.128158
frozen,12,60,0.123849
frozen,13,0,0.899517
frozen,13,1,0.870223
frozen,13,2,0.841931
frozen,13,3,0.814605
frozen,13,4,0.788213
frozen,13,5,0.762722
frozen,13,6,0.738102
frozen,13,7,0.714324
frozen,13,8,0.691358
frozen,13,9,0.669176
frozen,13,10,0.647753
frozen,13,11,0.627061
frozen,13,12,0.607077
frozen,13,13,0.587775
frozen,13,14,0.569133
frozen,13,15,0.551127
frozen,13,16,0.533737
frozen,13,17,0.516941
frozen,13,18,0.500719
frozen,13,19,0.485051
frozen,13,20,0.469918
frozen,13,21,0.425303
frozen,13,22,0.411187
frozen,13,23,0.397553
frozen,13,24,0.384385
frozen,13,25,0.371667
frozen,13,26,0.359383
frozen,13,27,0.347519
frozen,13,28,0.336061
frozen,13,29,0.324994
frozen,13,30,0.314305
frozen,13,31,0.303981
frozen,13,32,0.294010
frozen,13,33,0.284380
frozen,13,34,0.275078
frozen,13,35,0.266095
frozen,13,36,0.257418
frozen,13,37,0.249038
frozen,13,38,0.240944
frozen,13,39,0.233127
frozen,13,40,0.225577
frozen,13,41,0.218285
frozen,13,42,0.211242
frozen,13,43,0.159439
frozen,13,44,0.152869
frozen,13,45,0.146524
frozen,13,46,0.140395
frozen,13,47,0.134476
frozen,13,48,0.128759
frozen,13,49,0.123237
frozen,13,50,0.117904
frozen,13,51,0.112753
frozen,13,52,0.107778
frozen,13,53,0.102973
frozen,13,54,0.098332
frozen,13,55,0.093850
frozen,13,56,0.089521
frozen,13,57,0.085340
frozen,13,58,0.081302
frozen,13,59,0.077402
frozen,13,60,0.073635
frozen,14,0,0.920643
frozen,14,1,0.890439
frozen,14,2,0.861280
frozen,14,3,0.833130
frozen,14,4,0.805954
frozen,14,5,0.779719
frozen,14,6,0.754391
frozen,14,7,0.729941
frozen,14,8,0.706336
frozen,14,9,0.683549
frozen,14,10,0.661550
frozen,14,11,0.640312
frozen,14,12,0.619810
frozen,14,13,0.600017
frozen,14,14,0.580909
frozen,14,15,0.562462
frozen,14,16,0.544654
frozen,14,17,0.527462
frozen,14,18,0.510865
frozen,14,19,0.494843
frozen,14,20,0.479375
frozen,14,21,0.434442
frozen,14,22,0.420027
frozen,14,23,0.406110
frozen,14,24,0.392675
frozen,14,25,0.379704
frozen,14,26,0.367183
frozen,14,27,0.355095
frozen,14,28,0.343426
frozen,14,29,0.332160
frozen,14,30,0.321284
frozen,14,31,0.310785
frozen,14,32,0.300648
frozen,14,33,0.290863
frozen,14,34,0.281417
frozen,14,35,0.272297
frozen,14,36,0.263493
frozen,14,37,0.254994
frozen,14,38,0.246789
frozen,14,39,0.238867
frozen,14,40,0.231220
frozen,14,41,0.223838
frozen,14,42,0.216711
frozen,14,43,0.164831
frozen,14,44,0.158189
frozen,14,45,0.151776
frozen,14,46,0.145586
frozen,14,47,0.139610
frozen,14,48,0.133841
frozen,14,49,0.128271
frozen,14,50,0.122895
frozen,14,51,0.117704
frozen,14,52,0.112693
frozen,14,53,0.107855
frozen,14,54,0.103185
frozen,14,55,0.098676
frozen,14,56,0.094324
frozen,14,57,0.090122
frozen,14,58,0.086065
frozen,14,59,0.082149
frozen,14,60,0.078369
frozen,15,0,0.930651
frozen,15,1,0.901302
frozen,15,2,0.872920
frozen,15,3,0.845472
frozen,15,4,0.818927
frozen,15,5,0.793257
frozen,15,6,0.768431
frozen,15,7,0.744423
frozen,15,8,0.721205
frozen,15,9,0.698751
frozen,15,10,0.677037
frozen,15,11,0.656037
frozen,15,12,0.635729
frozen,15,13,0.616089
frozen,15,14,0.597096
frozen,15,15,0.578728
frozen,15,16,0.560965
frozen,15,17,0.543787
frozen,15,18,0.527174
frozen,15,19,0.511107
frozen,15,20,0.495570
frozen,15,21,0.450545
frozen,15,22,0.436014
frozen,15,23,0.421961
frozen,15,24,0.408371
frozen,15,25,0.395228
frozen,15,26,0.382518
frozen,15,27,0.370226
frozen,15,28,0.358339
frozen,15,29,0.346844
frozen,15,30,0.335727
frozen,15,31,0.324975
frozen,15,32,0.314578
frozen,15,33,0.304523
frozen,15,34,0.294799
frozen,15,35,0.285395
frozen,15,36,0.276301
frozen,15,37,0.267506
frozen,15,38,0.259000
frozen,15,39,0.250775
frozen,15,40,0.242820
frozen,15,41,0.235128
frozen,15,42,0.227688
frozen,15,43,0.175493
frozen,15,44,0.168536
frozen,15,45,0.161807
frozen,15,46,0.155300
frozen,15,47,0.149007
frozen,15,48,0.142921
frozen,15,49,0.137036
frozen,15,50,0.131344
frozen,15,51,0.125839
frozen,15,52,0.120516
frozen,15,53,0.115368
frozen,15,54,0.110390
frozen,15,55,0.105575
frozen,15,56,0.100919
frozen,15,57,0.096417
frozen,15,58,0.092062
frozen,15,59,0.087851
frozen,15,60,0.083778
frozen,16,0,0.893243
frozen,16,1,0.863745
frozen,16,2,0.835276
frozen,16,3,0.807799
frozen,16,4,0.781279
frozen,16,5,0.755685
frozen,16,6,0.730982
frozen,16,7,0.707141
frozen,16,8,0.684131
frozen,16,9,0.661923
frozen,16,10,0.640490
frozen,16,11,0.619804
frozen,16,12,0.599838
frozen,16,13,0.580569
frozen,16,14,0.561972
frozen,16,15,0.544023
frozen,16,16,0.526700
frozen,16,17,0.509981
frozen,16,18,0.493844
frozen,16,19,0.478270
frozen,16,20,0.463239
frozen,16,21,0.418732
frozen,16,22,0.404731
frozen,16,23,0.391218
frozen,16,24,0.378176
frozen,16,25,0.365589
frozen,16,26,0.353441
frozen,16,27,0.341716
frozen,16,28,0.330400
frozen,16,29,0.319478
frozen,16,30,0.308937
frozen,16,31,0.298764
frozen,16,32,0.288945
frozen,16,33,0.279469
frozen,16,34,0.270323
frozen,16,35,0.261496
frozen,16,36,0.252976
frozen,16,37,0.244754
frozen,16,38,0.236818
frozen,16,39,0.229159
frozen,16,40,0.221767
frozen,16,41,0.214633
frozen,16,42,0.207747
frozen,16,43,0.156101
frozen,16,44,0.149688
frozen,16,45,0.143497
frozen,16,46,0.137523
frozen,16,47,0.131757
frozen,16,48,0.126191
frozen,16,49,0.120820
frozen,16,50,0.115636
frozen,16,51,0.110633
frozen,16,52,0.105804
frozen,16,53,0.101144
frozen,16,54,0.096646
frozen,16,55,0.092305
frozen,16,56,0.088115
frozen,16,57,0.084071
frozen,16,58,0.080169
frozen,16,59,0.076402
frozen,16,60,0.072767
frozen,17,0,0.885281
frozen,17,1,0.857556
frozen,17,2,0.830740
frozen,17,3,0.804803
frozen,17,4,0.779717
frozen,17,5,0.755454
frozen,17,6,0.731987
frozen,17,7,0.709290
frozen,17,8,0.687337
frozen,17,9,0.666104
frozen,17,10,0.645568
frozen,17,11,0.625705
frozen,17,12,0.606493
frozen,17,13,0.587912
frozen,17,14,0.569941
frozen,17,15,0.552558
frozen,17,16,0.535746
frozen,17,17,0.519486
frozen,17,18,0.503758
frozen,17,19,0.488547
frozen,17,20,0.473834
frozen,17,21,0.429605
frozen,17,22,0.415841
frozen,17,23,0.402530
frozen,17,24,0.389655
frozen,17,25,0.377202
frozen,17,26,0.365158
frozen,17,27,0.353508
frozen,17,28,0.342241
frozen,17,29,0.331343
frozen,17,30,0.320803
frozen,17,31,0.310609
frozen,17,32,0.300749
frozen,17,33,0.291212
frozen,17,34,0.281988
frozen,17,35,0.273067
